Team	Year	Position	Number	Name	Age	Game Started	Sub Ins	Goals	Total Shots	Shots on Target	Assists	Fouls	Fouls Suffered	Yellow cards	Red cards
Manchester_U	s2014	Forward	10	Wayne Rooney	31	33	0	12	79	27	5	36	24	5	1
Manchester_U	s2014	Forward	49	James Wilson	21	2	11	1	8	4	0	4	4	3	0
Manchester_U	s2014	Forward	20	Robin van Persie	33	25	2	10	76	37	2	34	26	5	0
Manchester_U	s2015	Defender	17	Daley Blind	27	35	0	1	4	2	1	26	15	2	0
Manchester_U	s2015	Defender	43	Cameron Borthwick-Jackson	20	6	4	0	1	1	1	8	2	0	0
Manchester_U	s2015	Defender	36	Matteo Darmian	27	24	4	1	6	1	0	27	23	8	0
Manchester_U	s2015	Defender	51	Timothy Fosu-Mensah	19	2	6	0	2	0	1	2	2	1	0
Manchester_U	s2015	Defender	4	Phil Jones	25	6	4	0	1	0	0	4	2	0	0
Manchester_U	s2015	Defender	37	Donald Love	22	0	1	0	0	0	0	1	0	0	0
Manchester_U	s2015	Defender	33	Paddy McNair	22	3	5	0	3	1	0	4	2	0	0
Manchester_U	s2015	Defender	5	Marcos Rojo	28	15	1	0	8	1	1	20	12	3	0
Manchester_U	s2015	Defender	23	Luke Shaw	21	5	0	0	1	1	1	8	3	1	0
Manchester_U	s2015	Defender	12	Chris Smalling	27	35	0	0	18	2	1	47	14	8	0
Manchester_U	s2015	Defender	38	Axel Tuanzebe	19	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2015	Defender	25	Antonio Valencia	31	8	6	0	6	1	3	16	6	1	0
Manchester_U	s2015	Defender	30	Gullermo Varela	24	3	1	0	1	0	0	5	7	1	0
Manchester_U	s2015	Defender	NA	Ro-Shaun Williams	19	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2015	Midfielder	16	Michael Carrick	35	22	6	0	7	1	0	11	13	4	0
Manchester_U	s2015	Midfielder	27	Marouane Fellaini	29	12	6	1	23	8	0	33	13	2	0
Manchester_U	s2015	Midfielder	45	Sean Goss	21	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2015	Midfielder	21	Ander Herrera	27	17	10	3	24	6	2	28	20	4	0
Manchester_U	s2015	Midfielder	11	Adnan Januzaj	22	2	3	1	4	1	0	5	3	1	0
Manchester_U	s2015	Midfielder	35	Jesse Lingard	24	19	6	4	31	13	1	24	21	4	0
Manchester_U	s2015	Midfielder	8	Juan Mata	29	34	4	6	57	22	5	22	29	4	1
Manchester_U	s2015	Midfielder	44	Andreas Pereira	21	0	4	0	0	0	0	2	1	2	0
Manchester_U	s2015	Midfielder	41	Regan Poole	18	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2015	Midfielder	49	Joe Riley	25	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2015	Midfielder	46	Joe Rothwell	22	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2015	Midfielder	28	Morgan Schneiderlin	27	25	4	1	11	1	0	52	15	3	0
Manchester_U	s2015	Midfielder	31	Bastian Schweinsteiger	32	13	5	1	12	3	0	19	17	3	0
Manchester_U	s2015	Midfielder	47	James Weir	21	0	1	0	0	0	0	0	0	0	0
Manchester_U	s2015	Midfielder	18	Ashley Young	31	11	7	1	7	3	2	15	20	5	0
Manchester_U	s2015	Forward	7	Memphis Depay	23	16	12	2	56	17	0	20	33	2	0
Manchester_U	s2015	Forward	48	William Keane	24	0	1	0	0	0	0	0	0	0	0
Manchester_U	s2015	Forward	9	Anthony Martial	21	30	2	11	57	25	4	40	56	2	0
Manchester_U	s2015	Forward	39	Marcus Rashford	19	11	0	5	16	8	2	5	9	0	0
Manchester_U	s2015	Forward	10	Wayne Rooney	31	27	1	8	70	23	6	28	14	4	0
Manchester_U	s2016	Defender	3	Eric Bailly	23	21	1	0	5	0	0	20	19	3	0
Manchester_U	s2016	Defender	17	Daley Blind	27	19	3	1	9	2	2	14	13	2	0
Manchester_U	s2016	Defender	36	Matteo Darmian	27	14	3	0	2	0	0	18	16	3	0
Manchester_U	s2016	Defender	24	Timothy Fosu-Mensah	19	0	3	0	0	0	0	0	0	0	0
Manchester_U	s2016	Defender	4	Phil Jones	25	15	0	0	3	0	0	8	10	1	0
Manchester_U	s2016	Defender	5	Marcos Rojo	28	18	3	1	14	4	0	24	10	5	0
Manchester_U	s2016	Defender	23	Luke Shaw	21	9	2	0	6	1	1	7	6	1	0
Manchester_U	s2016	Defender	12	Chris Smalling	27	11	5	1	7	1	1	7	6	0	0
Manchester_U	s2016	Defender	38	Axel Tuanzebe	19	1	0	0	0	0	0	1	1	0	0
Manchester_U	s2016	Defender	25	Antonio Valencia	31	27	1	1	9	4	3	33	17	5	0
Manchester_U	s2016	Midfielder	16	Michael Carrick	35	17	3	0	8	0	0	4	17	1	0
Manchester_U	s2016	Midfielder	27	Marouane Fellaini	29	17	10	1	22	7	0	41	20	9	1
Manchester_U	s2016	Midfielder	21	Ander Herrera	27	27	2	1	38	6	6	47	44	5	1
Manchester_U	s2016	Midfielder	14	Jesse Lingard	24	16	7	1	36	13	2	25	18	3	0
Manchester_U	s2016	Midfielder	8	Juan Mata	29	17	6	6	37	21	3	9	15	3	0
Manchester_U	s2016	Midfielder	39	Scott McTominay	20	0	1	0	1	1	0	0	0	0	0
Manchester_U	s2016	Midfielder	22	Henrikh Mkhitaryan	28	14	8	4	31	16	1	17	24	1	0
Manchester_U	s2016	Midfielder	6	Paul Pogba	24	28	1	4	91	31	3	60	70	7	0
Manchester_U	s2016	Midfielder	42	Matthew Willock	20	0	0	0	0	0	0	0	0	0	0
Manchester_U	s2016	Midfielder	18	Ashley Young	31	8	4	0	5	0	1	9	15	2	0
Manchester_U	s2016	Forward	9	Zlatan Ibrahimovic	35	27	1	17	115	46	5	54	20	7	0
Manchester_U	s2016	Forward	11	Anthony Martial	21	16	6	4	38	18	5	24	24	2	0
Manchester_U	s2016	Forward	19	Marcus Rashford	19	16	14	5	43	17	1	14	32	3	0
Manchester_U	s2016	Forward	10	Wayne Rooney	31	12	10	4	43	17	5	18	10	7	0
